epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,324.26,4.83747,4.10904,2.75981,0.03329,0.07216,0.01079,0.00342,3.57576,3.26896,1.94937,0.00166461,0.00166461,0.0683725
2,710.923,3.34421,3.03552,1.75027,0.05723,0.12266,0.03642,0.01472,3.02245,2.73088,1.57958,0.00326531,0.00326531,0.0366399
3,1854.1,2.81353,2.54603,1.50063,0.20688,0.13182,0.07107,0.03169,2.56,2.2264,1.42217,0.00480002,0.00480002,0.00484122
4,3134.7,2.53841,2.28435,1.38485,0.25383,0.17337,0.09925,0.04672,2.25718,2.03276,1.31002,0.004703,0.004703,0.004703
5,3423.76,2.35437,2.08651,1.31164,0.20129,0.17406,0.11946,0.05739,2.18203,1.86862,1.27266,0.004604,0.004604,0.004604
6,4489.14,2.25623,1.97051,1.27457,0.262,0.20774,0.14834,0.07378,2.06686,1.75768,1.22406,0.004505,0.004505,0.004505
